,China,Trump,StayHome,Vaccine,Ventilator,ICU,Flight,Isolation,Border,SARS,Overall
2020-04-14,-0.663089005,-0.681419458,-0.833333333,-0.603846154,-0.653061224,,-0.684615385,-0.713567839,-0.801282051,-0.875,-0.6689
2020-04-15,-0.684690851,-0.85325735,-0.5,-0.595918367,-0.769005848,,-0.641304348,-0.721904762,-0.868421053,-0.75,-0.657935
2020-04-16,-0.786751761,-0.806774606,-0.333333333,-0.622807018,-0.533333333,,-0.837962963,-0.770833333,-0.754237288,-0.828431373,-0.672145
2020-04-17,-0.604649043,-0.78259542,-0.375,-0.751644737,-0.635036496,,-0.607142857,-0.73582996,-0.927046263,-0.551020408,-0.684785
2020-04-18,-0.578698065,-0.84391635,-1,-0.504251701,-0.598684211,,-0.535,-0.76835443,-0.736363636,-0.793650794,-0.723935
2020-04-19,-0.555473645,-0.737667429,-1,-0.751552795,-0.814814815,,-0.621621622,-0.714285714,-0.335526316,-0.833333333,-0.668685
2020-04-20,-0.606125166,-0.719239631,-0.125,-0.631029987,-0.948529412,,-0.774038462,-0.760237781,-0.741666667,-0.758064516,-0.681895
2020-04-21,-0.632098765,-0.592389577,0,-0.678143713,-0.77,,-0.572463768,-0.82890625,-0.587155963,-0.6875,-0.648595
2020-04-22,-0.641248938,-0.355233853,-1,-0.787756598,-0.797619048,,-0.66745283,-0.620811287,-0.757894737,-0.243243243,-0.666
2020-04-23,-0.699334698,-0.665201868,-0.5,-0.66620753,-0.699300699,,-0.669291339,-0.646471372,-0.68,-0.541666667,-0.660965
2020-04-24,-0.768538136,-0.770596987,-0.5,-0.735381566,-0.691176471,,-0.825581395,-0.587078652,-0.672955975,-0.361111111,-0.692745
2020-04-25,-0.853225806,-0.603873239,-0.625,-0.669621749,-0.715686275,,-0.686567164,-0.631818182,-0.833333333,-0.533333333,-0.66651
2020-04-26,-0.796634162,-0.904461688,-1,-0.685875706,-0.636877828,,-0.596153846,-0.651750973,-0.661458333,-0.666666667,-0.703895
2020-04-27,-0.83357016,-0.768638769,,-0.731111111,-0.563829787,,-0.574074074,-0.649691358,-0.738636364,-0.382352941,-0.666065
2020-04-28,-0.624511446,-0.755068938,,-0.924613987,-0.70212766,,-0.751351351,-0.68,-0.959731544,-0.801204819,-0.710695
2020-04-29,-0.628455285,-0.776872134,,-0.456009201,-0.540446304,,-0.767857143,-0.794270833,-0.919117647,-0.558558559,-0.66068
2020-04-30,-0.7304405,-0.749513934,-0.714285714,-0.760533708,-0.656666667,,-0.716346154,-0.654109589,-0.927884615,-0.622222222,-0.6424
2020-05-01,-0.714904143,-0.71978022,-0.75,-0.545997611,-0.808917197,,-0.704081633,-0.709677419,-0.62804878,-0.670731707,-0.67201
2020-05-02,-0.488977486,-0.739247312,-0.777777778,-0.756756757,-0.735294118,,-0.658536585,-0.540163934,-0.64084507,-0.535714286,-0.66984
2020-05-03,-0.619452055,-0.760029176,-0.5,-0.782635468,-0.560606061,,-0.497802198,-0.683109118,-0.648760331,-0.810344828,-0.65189
2020-05-04,-0.825168619,-0.713586957,-0.733333333,-0.711902113,-0.48,,-0.512773723,-0.741682975,-0.905797101,-0.536144578,-0.668285
2020-05-05,-0.774305556,-0.881171346,-0.785714286,-0.630327869,-0.715909091,,-0.50625,-0.688559322,-0.611111111,-0.884297521,-0.69614
2020-05-06,-0.635038667,-0.763477801,-0.5,-0.701417004,-0.840909091,,-0.573943662,-0.693654267,-0.73015873,-0.802752294,-0.657375
2020-05-07,-0.723197492,-0.843242245,-0.5,-0.758905852,-0.736842105,,-0.615107914,-0.475609756,-0.731884058,-0.336538462,-0.680085
2020-05-08,-0.737073171,-0.382940915,-0.857142857,-0.744750656,-0.797101449,,-0.394444444,-0.699044586,-0.601351351,-0.620689655,-0.64986
2020-05-09,-0.66544864,-0.698023177,-0.535714286,-0.278625954,-0.365546218,,-0.585106383,-0.644136808,-0.59375,-0.625,-0.6157
2020-05-10,-0.676435407,-0.737080868,-0.5,-0.659527326,-0.976241901,,-0.705188679,-0.684065934,-0.679487179,-0.454545455,-0.677545
2020-05-11,-0.622320303,-0.763701707,-0.666666667,-0.82960199,-0.87593985,,-0.5375,-0.543307087,-0.791666667,-0.65625,-0.585425
2020-05-12,-0.725855746,-0.721674093,-0.166666667,-0.832106038,-0.855,,-0.661764706,-0.786423841,-0.666666667,-0.55,-0.674955
2020-05-13,-0.671348315,-0.803054662,-0.571428571,-0.69939759,-0.69,,-0.728070175,-0.757798165,-0.937977099,-0.763888889,-0.651045
2020-05-14,-0.748728095,-0.898110805,-0.611111111,-0.837337337,-0.752747253,,-0.595,-0.597643098,-0.615577889,-0.681818182,-0.68954
2020-05-15,-0.626052632,-0.787941788,-0.5,-0.8125,-0.679487179,,-0.482587065,-0.592,-0.909090909,-0.731060606,-0.6791
2020-05-16,-0.646002872,-0.450934579,-0.625,-0.7228,-0.572727273,,-0.526548673,-0.5615727,-0.594405594,-0.592592593,-0.62643
2020-05-17,-0.578947368,-0.783901665,-0.875,-0.69168357,-0.663043478,,-0.623417722,-0.651647287,-0.768907563,-0.708333333,-0.68481
2020-05-18,-0.808019028,-0.83630031,-0.75,-0.69144385,-0.53125,,-0.581395349,-0.835542668,-0.547286822,-0.65,-0.67048
2020-05-19,-0.745521807,-0.626465662,-0.833333333,-0.676524954,-0.642857143,,-0.604545455,-0.707934337,-0.686507937,-0.8,-0.68328
2020-05-20,-0.76608506,-0.68245533,-0.833333333,-0.751105217,-0.5,,-0.663865546,-0.680357143,-0.582417582,-0.696808511,-0.68543
2020-05-21,-0.741651488,-0.696188943,-0.6,-0.824368825,-0.74137931,,-0.657303371,-0.82779661,-0.828125,-0.6953125,-0.65326
2020-05-22,-0.768109035,-0.662751678,-0.75,-0.741975309,-0.6,,-0.664335664,-0.733796296,-0.534482759,-0.617647059,-0.683025
2020-05-23,-0.789967374,-0.762903226,-0.833333333,-0.893933824,-0.409090909,,-0.399441341,-0.651112706,-0.923913043,-0.571428571,-0.65683
2020-05-24,-0.81878089,-0.580810067,-0.5,-0.768421053,-0.78,,-0.549407115,-0.706152758,-0.8203125,-0.821428571,-0.66726
2020-05-25,-0.688764643,-0.38969697,-0.5,-0.805722892,-0.65625,,-0.622252747,-0.582244009,-0.710526316,-0.71875,-0.654965
2020-05-26,-0.578333333,-0.65776459,-0.75,-0.721371709,-0.846666667,,-0.580798479,-0.6615,-0.551987768,-0.924657534,-0.64252
2020-05-27,-0.758144883,-0.535580524,-0.833333333,-0.872410936,-0.689655172,,-0.488990826,-0.704958678,-0.537414966,-0.506024096,-0.656965
2020-05-28,-0.469812427,-0.698924731,-1,-0.709448819,-0.598360656,,-0.619631902,-0.711991435,-0.63362069,-0.631578947,-0.64035
